"Start Time","End Time","Text","Layer ID"
"00:00:00:00","00:13:46:18","１級FP 資産７億円 さやかマネー裏攻略","1"
"00:00:15:24","00:00:18:12","将来の資産に何百万円もの差が","1"
"00:00:18:12","00:00:20:03","生まれる可能性があるんです","1"
"00:02:17:13","00:02:20:13","約300万円にもなる可能性がある","1"
"00:03:30:14","00:03:33:00","この考え方を知っているだけで","1"
"00:03:33:00","00:03:35:01","相場が下がった時の見え方は","1"
"00:03:35:01","00:03:36:05","大きく変わります","1"
"00:04:47:15","00:04:49:25","不安な相場の中でも多くの人が","1"
"00:04:49:25","00:04:52:07","投資を続けていたことがうかがえます","1"
"00:06:03:14","00:06:06:04","そして相場が下がっている時には","1"
"00:06:06:04","00:06:10:11","同じ金額でより多くの口数を購入できる","1"
"00:06:35:09","00:06:38:21","だから私は相場を予測することよりも","1"
"00:06:38:21","00:06:41:19","長く続けられる仕組みを作ること","1"
"00:06:41:19","00:06:44:08","それこそが長期の資産形成では","1"
"00:06:44:08","00:06:46:15","何より大切だと思っています","1"
"00:07:34:00","00:07:36:14","だから私は毎月の積立を","1"
"00:07:36:14","00:07:38:15","続けることをお勧めしています","1"
"00:08:48:17","00:08:50:26","3つの実践ルールをお伝えします","1"
"00:09:52:02","00:09:53:11","相場が下がると","1"
"00:09:53:11","00:09:55:09","不安になるのは自然なことです","1"
"00:10:15:14","00:10:18:09","相場との付き合い方は大きく変わる","1"
"00:10:27:08","00:10:29:13","これが長期投資では何より","1"
"00:10:29:13","00:10:31:05","大切だと考えています","1"
"00:10:42:29","00:10:45:26","ここでお伝えしたいことがあります","1"
"00:10:49:14","00:10:52:14","資産形成の方法は一人一人違います","1"
"00:11:48:25","00:11:53:01","無料個別相談枠を人数限定でご用意","1"
"00:11:58:02","00:12:00:13","最適資産形成ロードマップを","1"
"00:12:00:13","00:12:02:00","一緒に作成しています","1"
"00:12:48:18","00:12:51:15","自分に合った積立額を決めて","1"
"00:12:51:15","00:12:54:11","無理のない範囲でコツコツ続けること","1"
"00:13:46:18","00:13:56:18","気軽にコメントお書きください！","1"
