"Speaker Name","Start Time","End Time","Text"
"不明","00:00:00:03","00:00:20:06","皆さんこんなことを思ったことはありませんか。高値で買っちゃったかも。もしここから株価が大きく下がったらどうしよう。今のうちに売った方がいいのかな。もし今そう思っているなら、この動画はぜひ最後までご覧ください。実はその判断一つで、将来の資産に何100万円もの差が生まれる可能性があるんです。"
"不明","00:00:20:07","00:00:37:24","一方で、2026年上期は金利や世界情勢の不安がニュースで度々と話題になり、今は投資を続けて大丈夫なのだろうかと感じた方は少なくないのではないでしょうか。なぜ、不安な相場環境の中でも多くの人は投資を続けたのでしょうか。"
"不明","00:00:37:24","00:01:01:22","今日はその理由と、相場が大きく動いた時に長期投資家が意識したい考え方について。データを交えながら分かりやすくお話しします。改めまして。こんにちは、FBのさやかです。FB歴18年、不動産を含めて資産7億円を保有し投資をしている私が。毎回、綺麗事ではない実践的なお金の知識をお届けしています。"
"不明","00:01:01:24","00:01:21:21","ぜひ、チャンネル登録と通知ボタンをオンにしていただけたらと思います。それでは早速本題に入っていきましょう。第1章株安で焦って積み立てを止めてしまったよくある失敗ケース。まずは皆さんにぜひ自分事として考えていただきたい。よくあるご相談を元にしたケースをご紹介します。"
"不明","00:01:21:22","00:01:43:19","30代会社員のAさんです。さんは新NISAを始めて、毎月5万円ずつ全世界株式の上を積み立てていました。順調に資産が増え、このままコツコツ続けていこうと思っていた矢先、市場が大きく下落し、ニュースでは連日のように株価急落、先行き不透明と報じられるようになりました。"
"不明","00:01:43:20","00:02:03:08","口座を開くと評価額はこれ以上減ったら困る。不安になったAさんは、積み立てを止めて、それまで積み立ててきた資産を売却してしまいました。ところが、その数か月後、市場は回復。結果として一番安いタイミングで売却をし、その後の上昇を取り逃がしてしまったのです。"
"不明","00:02:03:09","00:02:25:28","もし、そのまま毎月5万円の積み立てを20年間続け、年率5%で運用できたとすると、将来の資産は約2,055万円になります。一方で、途中で積み立てを止めて売却してしまうと、その差は約300万円にもなる可能性があるのです。たった一度の判断が、将来の資産を大きく左右してしまうこともあるのです。"
"不明","00:02:25:28","00:02:44:19","では、Aさんはなぜこのような判断をしてしまったのでしょうか。実は、多くの人が見落としているある視点があるんです。それが価格ではなく数を見るという考え方です。ここが今日の動画で一番大切なポイントになります。わかりやすくみかんで例えてみましょう。"
"不明","00:02:44:20","00:03:03:12","普段100円で売っている美味しいみかんが、今日は50円になっていたら。皆さんはどう思いますか。今日は安いからいつもより多く買えると。そう考える方が多いですよね。ところが、投資になると不思議なことに。価格が下がった途端。もうダメだと買うのをやめたり。"
"不明","00:03:03:13","00:03:21:15","持っているものを売ってしまう人が少なくありません。でも、投資信託は価格が下がっている時ほど、同じ5万円でもより多くの数を買うことができるんです。つまり、相場が下がっている期間は、将来に向けて口数を積み上げしやすい時期でもあるんです。"
"不明","00:03:21:15","00:03:43:00","だから、ドルコスト平均法は安い時には多く、高い時には少なく買うということが自動で積み立ててくれる仕組みなんですね。この考え方をしているだけで、相場が下がった時の見え方は大きく変わります。では、実際に2026年上期、多くの投資家はどのように行動していたのでしょうか。"
